"027 -- Taajamat väkiluvun ja väestöntiheyden mukaan 31.12.2012"

"Taajama";"Väkiluku";"Maapinta-ala km²";"Väestöntiheys"
"Ahde";362;2.11;171.6
"Ahlainen";375;3.08;121.8
"Ahola";1486;3.98;373.4
"Ahonkylä";1657;4.88;339.5
"Aitoo";416;2.31;180.1
"Ajos";350;0.81;432.1
"Akonpohja";287;1.25;229.6
"Alahärmän kk.";2312;11.36;203.5
"Alajärven kt.";5169;24.12;214.3
"Alakylä";1455;8.63;168.6
"Alapitkä";388;1.19;326.1
"Alastaron kk.";1207;4.23;285.3
"Alaveteli";821;5.44;150.9
"Alavieskan kk.";1411;6.29;224.3
"Alavuden as.seutu";1376;6.45;213.3
"Alavuden kt.";4041;11.08;364.7
"Alhopakka";445;3.31;134.4
"Alikartano";259;0.90;287.8
"Anttola";297;2.25;132.0
"Anttolankylä";892;3.27;272.8
"Arpela";296;1.69;175.1
"Artjärven kk.";301;1.19;252.9
"Asemakylä (Ii)";877;4.42;198.4
"Asemakylä (Sievi)";230;1.10;209.1
"Askaisten kk.";484;2.94;164.6
"Askolan kk.";1291;5.49;235.2
"Auran as.seutu";2644;7.22;366.2
"Bergö";409;3.21;127.4
"Björkboda";217;1.35;160.7
"Björköby";294;2.75;106.9
"Blinkan";226;1.25;180.8
"Borgby";281;2.12;132.5
"Bosund";935;2.86;326.9
"Bromarv";200;0.89;224.7
"Dagsmark";213;1.71;124.6
"Dragsfjärdin kk.";656;5.02;130.7
"Elimäen kk.";1382;4.19;329.8
"Enon kk.";2020;4.25;475.3
"Enonkosken kk.";623;1.90;327.9
"Enontekiön kk.";555;3.31;167.7
"Epaala";2681;8.34;321.5
"Eskola";275;1.38;199.3
"Eteläinen";621;3.24;191.7
"Etelä-Paippinen";310;2.81;110.3
"Eugmo";507;2.32;218.5
"Eurajoen kk.";2586;6.97;371.0
"Eurakoski";913;4.11;222.1
"Euran kk.";6645;21.26;312.6
"Evijärven kk.";955;4.27;223.7
"Fiskari";446;2.32;192.2
"Forsby";351;4.04;86.9
"Forssan kt.";22048;36.67;601.3
"Gesterby";283;2.50;113.2
"Girsnäs";273;1.91;142.9
"Godby";1234;6.09;202.6
"Gåsgårdsträsket";213;0.50;426.0
"Haapajoki - Arkkukari";709;4.88;145.3
"Haapajärven kt.";4779;15.09;316.7
"Haapamäki";933;4.25;219.5
"Haapaveden kt.";4051;11.70;346.2
"Haarahiltunen";397;0.89;446.1
"Haavisto";208;0.95;218.9
