"027 -- Taajamat väkiluvun ja väestöntiheyden mukaan 31.12.2016"

"Vuosi";"Taajama";"Väkiluku";"Maapinta-ala, km²";"Väestöntiheys"
"2016";"Ahde";334;2.15;155.2
"2016";"Ahlainen";372;3.08;120.7
"2016";"Ahola (Posio)";1328;3.97;334.8
"2016";"Ahonkylä";1953;5.00;390.6
"2016";"Aitoo";414;2.43;170.4
"2016";"Ajos";348;0.98;355.1
"2016";"Akonpohja";267;1.25;213.6
"2016";"Alahärmän kk.";2240;11.36;197.2
"2016";"Alajärven kt.";5067;24.68;205.3
"2016";"Alakylä";1545;8.88;174.0
"2016";"Alapitkä";370;1.38;269.1
"2016";"Alastaron kk.";1156;4.12;280.5
"2016";"Alaveteli";840;5.56;151.0
"2016";"Alavieskan kk.";1367;6.28;217.7
"2016";"Alavuden as.seutu";1325;6.60;200.8
"2016";"Alavuden kt.";4023;11.63;345.9
"2016";"Anttola";309;2.44;126.8
"2016";"Anttolankylä";864;3.28;263.8
"2016";"Arpela";266;1.69;157.6
"2016";"Artjärven kk.";413;2.63;157.2
"2016";"Asemakylä";821;4.43;185.4
"2016";"Askaisten kk.";489;2.94;166.5
"2016";"Askolan kk.";1312;5.61;233.9
"2016";"Auran as.seutu";2710;7.18;377.2
"2016";"Bergö";391;3.22;121.3
"2016";"Björkboda";202;1.35;149.7
"2016";"Björköby";282;2.75;102.5
"2016";"Blinkan";225;1.31;171.4
"2016";"Bosund";996;2.80;355.5
"2016";"Bromarv";207;1.07;193.7
"2016";"Dragsfjärdin kk.";622;5.01;124.1
"2016";"Elimäen kk.";1370;4.19;327.2
"2016";"Enon kk.";1854;4.15;446.7
"2016";"Enonkosken kk.";565;1.87;301.4
"2016";"Enontekiön kk.";542;3.28;165.3
"2016";"Eskola";254;1.38;184.7
"2016";"Eteläinen";639;3.30;193.5
"2016";"Etelä-Paippinen";307;2.88;106.8
"2016";"Eugmo";489;2.37;206.4
"2016";"Eurajoen kk.";2682;7.07;379.3
"2016";"Eurakoski";860;4.18;205.8
"2016";"Euran kk.";6516;21.47;303.5
"2016";"Evijärven kk.";886;4.57;193.7
"2016";"Fagernäs";202;1.85;109.2
"2016";"Fiskari";493;2.42;203.6
"2016";"Forsby";373;4.32;86.4
"2016";"Forssan kt.";21409;36.95;579.4
"2016";"Girsnäs";249;1.92;129.7
"2016";"Godby";1297;6.09;213.0
"2016";"Haapajoki - Arkkukari";739;5.00;147.7
"2016";"Haapajärven kt.";4662;15.89;293.4
"2016";"Haapamäki";857;4.25;201.4
"2016";"Haapaveden kt.";3967;11.91;333.0
"2016";"Haikaperä";362;2.18;166.0
"2016";"Hailuodon kk.";517;5.48;94.3
"2016";"Haimoo";414;3.48;119.1
"2016";"Halkia";440;4.56;96.4
"2016";"Halkosaari";686;2.13;322.8
"2016";"Halla - Tiutinen";329;0.43;759.5
"2016";"Halli";997;3.94;252.9
"2016";"Halsuan kk.";515;2.96;174.0
"2016";"Haminan kt.";15722;35.19;446.8
"2016";"Hammasjärvi";213;2.24;95.3
"2016";"Hammaslahti";1552;4.40;353.1
"2016";"Hangon kt.";7777;13.55;573.8
"2016";"Hankasalmen as.seutu";839;3.21;261.1
"2016";"Hankasalmen kk.";1307;3.10;421.0
"2016";"Haraldsby";244;1.16;210.6
"2016";"Harrström";213;1.81;117.5
"2016";"Hartolan kk.";1572;5.15;305.1
"2016";"Harviala";356;0.89;398.7
"2016";"Hastinrinne";210;1.75;119.8
"2016";"Hauhon kk.";1142;2.95;386.9
"2016";"Haukivuoren as.seutu";793;2.74;289.2
"2016";"Heikkilä";727;2.63;277.0
"2016";"Heinlammi";215;1.81;119.0
"2016";"Heinolan kk.";2301;5.77;398.6
"2016";"Heinolan kt.";14625;16.44;889.7
"2016";"Heinävaara";479;2.05;233.5
"2016";"Heinäveden kk.";1478;3.74;395.6
"2016";"Helsingby";1321;8.36;158.0
"2016";"Helsingin kt.";1249820;676.46;1847.6
"2016";"Hepola";1742;3.32;524.2
"2016";"Herrala";498;2.57;194.1
"2016";"Herunen";562;1.19;473.3
"2016";"Hikiä";1087;3.19;341.0
"2016";"Hiltulanlahti";583;4.12;141.5
"2016";"Himangan kk.";1730;6.38;271.2
"2016";"Hinnerjoki";457;3.81;119.9
"2016";"Hinthaara";914;3.83;238.4
"2016";"Hirsilä";372;2.06;180.4
"2016";"Hirvaskangas";426;1.63;260.9
"2016";"Hirvensalmen kk.";812;2.00;405.3
"2016";"Hollolan kk.";598;3.48;171.9
"2016";"Honkajoen kk.";780;3.38;230.9
"2016";"Huhmari";333;2.94;113.2
"2016";"Huikko";218;2.00;109.0
"2016";"Huittula";321;1.75;184.0
"2016";"Humppilan as.seutu";1412;5.79;244.0
"2016";"Huttukylä";295;1.84;160.2
"2016";"Hyrynsalmen kk.";1317;3.60;365.5
"2016";"Hytti";286;2.27;126.3
"2016";"Hyvinkään kt.";43279;36.98;1170.3
"2016";"Hähkänä";966;2.63;368.0
"2016";"Häijää";384;1.75;219.5
"2016";"Häiviä";314;3.37;93.1
"2016";"Hämeenkoski";1075;3.86;278.4
"2016";"Hämeenlinnan kt.";50012;47.35;1056.3
"2016";"Ihode";635;4.06;156.3
"2016";"Iin Hamina";6563;20.51;320.0
"2016";"Iisalmen kt.";15348;18.31;838.2
"2016";"Iitin kk.";223;1.73;129.2
"2016";"Iitiä";283;1.81;156.6
"2016";"Iittala";2340;6.64;352.4
"2016";"Ikaalisten kt.";3929;6.51;603.8
"2016";"Ikkala";275;1.99;138.1
"2016";"Ilmajoki - Kurikka";13503;55.89;241.6
"2016";"Ilola";340;2.72;124.9
"2016";"Ilomantsin kk.";2842;7.38;385.0
"2016";"Imatran kt.";28358;55.99;506.5
"2016";"Inarin kk.";603;2.69;224.4
"2016";"Inkere";668;2.12;314.9
"2016";"Inkeroinen";5016;13.49;371.7
"2016";"Inkoon kk.";2220;7.82;283.8
"2016";"Irjanne";297;2.39;124.4
"2016";"Isnäs";284;1.36;208.8
"2016";"Isojoen kk.";803;3.88;207.2
"2016";"Isokoski";390;2.94;132.8
"2016";"Isokylä - Kallaanvaara";1030;4.28;240.8
"2016";"Isokylä - Naantali";215;1.61;133.7
"2016";"Isokyrön kk.";2410;11.98;201.2
"2016";"Iso-Vimma";525;3.47;151.2
"2016";"Ivalo";3036;7.40;410.1
"2016";"Jaalan kk.";624;2.13;293.6
"2016";"Jakkukylä";211;1.52;139.0
"2016";"Jalasjärven kk.";3315;9.55;347.0
"2016";"Janakkalan kk.";256;1.75;146.3
"2016";"Jepuan as. seutu";453;2.96;152.8
"2016";"Joensuun kt.";67193;70.92;947.5
"2016";"Jokela (Tuusula)";6155;8.73;705.1
"2016";"Jokimaa - Vestra";323;1.44;224.7
"2016";"Jokipii";288;1.72;167.5
"2016";"Joroisten kk.";1924;5.12;376.1
"2016";"Joutsan kk.";2342;5.81;402.9
"2016";"Joutsenon kk.";6955;15.92;436.9
"2016";"Juankosken kirkons.";2066;6.31;327.6
"2016";"Jurvan kk.";1892;9.25;204.5
"2016";"Juuan kk.";2255;6.92;325.9
"2016";"Juvan kk.";3250;6.71;484.7
"2016";"Jyrinki";334;2.71;123.3
"2016";"Jyväskylän kt.";121782;92.51;1316.4
"2016";"Jäkärlä";3662;7.62;480.3
"2016";"Jämijärven kk.";668;3.01;222.0
"2016";"Jämsän kt.";12907;30.69;420.6
"2016";"Jäniksenlinna";252;2.31;109.0
"2016";"Jäppilän kk.";301;1.11;271.1
"2016";"Järvelä";2690;8.63;311.9
"2016";"Järvensuu";1033;2.54;407.4
"2016";"Järvikylä (Nivala)";365;2.75;132.7
"2016";"Järvikylä (Sievi)";336;2.37;141.7
"2016";"Kaanaa";994;4.50;221.0
"2016";"Kaasmarkku";244;1.55;157.9
"2016";"Kaavin kk.";1426;3.15;453.1
"2016";"Kainasto";211;2.38;88.8
"2016";"Kaipiaisten as.seutu";236;1.75;134.9
"2016";"Kaipola";1111;5.41;205.2
"2016";"Kaivola";928;2.56;362.9
"2016";"Kajaanin kt.";30157;28.34;1064.3
"2016";"Kakkuri";236;2.66;88.8
"2016";"Kalajoen hiekkasärkät";587;5.43;108.2
"2016";"Kalajoen kk.";6650;22.00;302.2
"2016";"Kalanti";1215;3.60;337.6
"2016";"Kangas";245;2.00;122.5
"2016";"Kangaslammin kk.";243;0.77;313.8
"2016";"Kangasniemen kk.";2822;6.22;454.0
"2016";"Kankaanpää (Köyliö)";544;3.32;163.8
"2016";"Kankaanpään kt.";7922;15.88;498.8
"2016";"Kannonkosken kk.";509;2.02;252.3
"2016";"Kannuksen kt.";3787;11.99;315.8
"2016";"Karijoen kk.";510;3.37;151.4
"2016";"Karjaan kt.";7905;13.86;570.4
"2016";"Karjalohjan kk.";600;3.08;194.7
"2016";"Karkkilan kt.";7495;15.52;483.0
"2016";"Karkku";551;3.27;168.4
"2016";"Karstulan kk.";2134;4.97;429.1
"2016";"Karttulan kk.";839;2.80;299.7
"2016";"Karunki";512;2.32;220.7
"2016";"Karvian kk.";812;2.86;283.9
"2016";"Karvoskylä - Jokikylä";302;3.71;81.3
"2016";"Kaskisten kt.";1282;2.90;442.0
"2016";"Kasuri";353;1.95;181.1
"2016";"Kattby";342;1.69;202.7
"2016";"Kauhajoen kt.";8821;32.71;269.7
"2016";"Kauhavan kt.";5567;20.29;274.4
"2016";"Kaukas";214;0.61;349.3
"2016";"Kaukjärvi";228;2.40;95.2
"2016";"Kaukonen";256;1.96;130.3
"2016";"Kausala";3863;9.13;423.3
"2016";"Kaustisen kk.";4387;19.33;226.9
"2016";"Keiteleen kk.";1137;3.20;355.4
"2016";"Kemie";1532;4.56;336.0
"2016";"Kemijärven kt.";4283;9.58;447.3
"2016";"Kemin kt.";27103;49.91;543.0
"2016";"Kemiön kk.";1316;5.88;224.0
"2016";"Kepola - Pajula";757;4.50;168.2
"2016";"Kerimäen kk.";2331;5.24;445.3
"2016";"Kerkkoo";730;4.19;174.3
"2016";"Kestilän kk.";532;2.36;225.5
"2016";"Kesälahden kk.";919;3.12;294.9
"2016";"Keuruun kt.";6121;8.89;688.6
"2016";"Kierälahti";436;1.79;244.0
"2016";"Kihniön kk.";675;2.53;266.9
"2016";"Kiihtelysvaaran kk.";562;1.88;299.7
"2016";"Kiikalan kk.";288;1.13;256.0
"2016";"Kiikka";1218;5.65;215.7
"2016";"Kiikoisten kk.";522;3.29;158.8
"2016";"Kiimingin kk.";5644;15.14;372.8
"2016";"Kilpilahti";524;4.56;114.9
"2016";"Kilvakkala";271;1.44;188.5
"2016";"Kinnulan kk.";857;3.30;259.6
"2016";"Kintaus";276;1.43;193.5
"2016";"Kipuksenkulma";208;1.56;133.2
"2016";"Kirkkoaho";631;4.05;155.7
"2016";"Kirkkonummen kk.";19885;37.79;526.2
"2016";"Kiteen kt.";4741;9.21;514.6
"2016";"Kittilän kk.";2255;4.50;501.1
"2016";"Kitula";595;2.29;259.4
