"027 -- Taajamat väkiluvun ja väestöntiheyden mukaan 31.12.2017"

"Vuosi";"Taajama";"Väestö 31.12.";"Maapinta-ala, km²";"Väestöntiheys asukasta/km²"
"2017";"Ahde";356;2.34;152.1
"2017";"Ahlainen";366;3.08;118.7
"2017";"Ahola (Posio)";1294;3.97;326.3
"2017";"Ahonkylä";1996;5.00;399.2
"2017";"Aitoo";415;2.43;170.8
"2017";"Ajos";334;0.98;340.8
"2017";"Akonpohja";252;1.25;201.6
"2017";"Alahärmän kk.";2203;11.84;186.0
"2017";"Alajärven kt.";5111;25.30;202.0
"2017";"Alakylä";1538;8.94;172.0
"2017";"Alapitkä";350;1.31;266.7
"2017";"Alastaron kk.";1142;4.41;259.2
"2017";"Alaveteli";806;5.56;144.9
"2017";"Alavieskan kk.";1364;6.28;217.2
"2017";"Alavuden as.seutu";1272;6.60;192.8
"2017";"Alavuden kt.";3973;11.92;333.3
"2017";"Anttola";307;2.50;122.8
"2017";"Anttolankylä";828;3.05;271.3
"2017";"Arpela";276;1.69;163.6
"2017";"Artjärven kk.";431;2.63;164.0
"2017";"Asemakylä";821;4.57;179.7
"2017";"Askaisten kk.";420;2.06;203.6
"2017";"Askolan kk.";1312;5.96;220.0
"2017";"Auran as.seutu";2727;7.31;373.1
"2017";"Bergö";385;3.16;121.8
"2017";"Björkboda";209;1.41;148.0
"2017";"Björköby";290;2.94;98.7
"2017";"Blinkan";222;1.31;169.2
"2017";"Bosund";1011;3.15;320.7
"2017";"Dragsfjärdin kk.";608;5.14;118.4
"2017";"Elimäen kk.";1350;4.19;322.4
"2017";"Enon kk.";1827;4.15;440.1
"2017";"Enonkosken kk.";555;1.87;296.1
"2017";"Enontekiön kk.";574;3.34;171.8
"2017";"Eskola";253;1.50;168.7
"2017";"Eteläinen";608;3.30;184.1
"2017";"Etelä-Paippinen";304;2.88;105.7
"2017";"Eugmo";497;2.37;209.7
"2017";"Eurajoen kk.";2679;7.26;369.1
"2017";"Eurakoski";873;4.18;208.9
"2017";"Euran kk.";6471;21.47;301.4
"2017";"Evijärven kk.";875;4.39;199.4
"2017";"Fagernäs";208;2.10;99.1
"2017";"Fiskari";502;2.42;207.3
"2017";"Forsby";351;4.25;82.5
"2017";"Forssan kt.";21236;37.14;571.8
"2017";"Girsnäs";246;1.92;128.1
"2017";"Godby";1293;6.28;206.0
"2017";"Haapajoki - Arkkukari";717;4.88;147.0
"2017";"Haapajärven kt.";4554;16.07;283.3
"2017";"Haapamäki";831;4.25;195.3
"2017";"Haapaveden kt.";3883;11.95;325.0
"2017";"Haikaperä";357;2.13;168.0
"2017";"Hailuodon kk.";518;5.61;92.4
"2017";"Haimoo";401;3.60;111.4
"2017";"Halkia";445;4.56;97.5
"2017";"Halkosaari";689;2.19;315.0
"2017";"Halla - Tiutinen";326;0.43;752.5
"2017";"Halli";964;4.19;230.0
"2017";"Halsuan kk.";484;3.14;154.3
"2017";"Haminan kt.";15581;35.04;444.7
"2017";"Hammasjärvi";206;2.24;92.2
"2017";"Hammaslahti";1555;4.40;353.8
"2017";"Hangon kt.";7632;13.49;565.9
"2017";"Hankasalmen as.seutu";795;3.21;247.4
"2017";"Hankasalmen kk.";1281;3.13;408.9
"2017";"Haraldsby";245;1.16;211.4
"2017";"Harrström";214;1.81;118.1
"2017";"Hartolan kk.";1544;5.34;289.2
"2017";"Harviala";361;0.89;404.3
"2017";"Hastinrinne";234;1.82;128.9
"2017";"Hauhon kk.";1159;3.03;382.9
"2017";"Haukivuoren as.seutu";780;2.74;284.5
"2017";"Heikkilä";726;2.63;276.6
"2017";"Heinlammi";211;1.81;116.8
"2017";"Heinolan kk.";2305;5.77;399.3
"2017";"Heinolan kt.";14432;16.48;875.7
"2017";"Heinävaara";469;2.05;228.6
"2017";"Heinäveden kk.";1476;3.74;395.1
"2017";"Helsingby";873;4.05;215.7
"2017";"Helsingin kt.";1268296;680.12;1864.8
"2017";"Hepola";1701;3.39;501.5
"2017";"Herrala";489;2.44;200.4
"2017";"Herunen";552;1.19;464.8
"2017";"Hikiä";1066;3.44;310.1
"2017";"Hiltulanlahti";728;4.12;176.7
"2017";"Himangan kk.";1709;6.38;267.9
"2017";"Hinnerjoki";456;3.81;119.6
"2017";"Hinthaara";902;3.96;227.8
"2017";"Hirsilä";370;2.06;179.4
"2017";"Hirvaskangas";440;1.63;269.5
"2017";"Hirvensalmen kk.";788;2.00;393.3
"2017";"Hollolan kk.";613;3.48;176.2
"2017";"Honkajoen kk.";739;3.38;218.7
"2017";"Huhmari";326;2.88;113.2
"2017";"Huikko";218;2.00;109.0
"2017";"Huittula";327;1.75;187.4
"2017";"Humppilan as.seutu";1374;5.91;232.4
"2017";"Huttukylä";297;1.89;157.4
"2017";"Hyrynsalmen kk.";1271;3.60;352.7
"2017";"Hytti";283;2.27;124.9
"2017";"Hyvinkään kt.";43461;37.04;1173.3
"2017";"Hähkänä";970;2.75;352.7
"2017";"Häijää";389;1.81;214.7
"2017";"Häiviä";316;3.37;93.7
"2017";"Hämeenkoski";1086;3.86;281.2
