"11s8 -- Taajamat väkiluvun ja väestöntiheyden mukaan, 2018"

"Vuosi";"Taajama";"Väestö 31.12.";"Maapinta-ala, km²";"Väestöntiheys"
"2018";"Ahde";404;2.89;139.8
"2018";"Ahlainen";371;3.08;120.5
"2018";"Ahola (Posio)";1277;3.97;321.7
"2018";"Ahonkylä";2059;5.04;408.5
"2018";"Aitoo";395;2.43;162.6
"2018";"Ajos";325;0.98;331.6
"2018";"Akonpohja";239;1.25;191.2
"2018";"Alahärmän kk.";2161;12.12;178.3
"2018";"Alajärven kt.";5074;25.46;199.3
"2018";"Alakylä";1539;8.95;172.0
"2018";"Alapitkä";364;1.31;277.9
"2018";"Alastaron kk.";1142;4.40;259.5
"2018";"Alaveteli";807;5.60;144.1
"2018";"Alavieskan kk.";1352;6.39;211.6
"2018";"Alavuden as.seutu";1254;6.60;190.0
"2018";"Alavuden kt.";3932;11.99;327.9
"2018";"Anttola";330;2.50;132.0
"2018";"Anttolankylä";822;3.04;270.4
"2018";"Arpela";274;1.69;162.1
"2018";"Artjärven kk.";424;2.63;161.2
"2018";"Asemakylä (Ii)";791;4.59;172.3
"2018";"Asemakylä (Sievi)";205;1.03;199.0
"2018";"Askaisten kk.";403;2.06;195.6
"2018";"Askolan kk.";1299;6.09;213.3
"2018";"Auran as.seutu";2722;7.30;372.9
"2018";"Bergö";372;3.16;117.7
"2018";"Björkboda";209;1.41;148.2
"2018";"Björköby";283;2.94;96.3
"2018";"Blinkan";224;1.31;171.0
"2018";"Bosund";1019;3.14;324.5
"2018";"Dragsfjärdin kk.";596;5.13;116.2
"2018";"Elimäen kk.";1297;4.16;311.8
"2018";"Enon kk.";1805;4.17;432.9
"2018";"Enonkosken kk.";552;1.87;295.2
"2018";"Enontekiön kk.";538;3.33;161.6
"2018";"Eskola";251;1.50;167.3
"2018";"Eteläinen";601;3.30;182.1
"2018";"Etelä-Paippinen";316;2.87;110.1
"2018";"Eugmo";500;2.37;211.0
"2018";"Eurajoen kk.";3521;11.71;300.7
"2018";"Eurakoski";848;4.15;204.3
"2018";"Euran kk.";6410;21.65;296.1
"2018";"Evijärven kk.";872;4.46;195.5
"2018";"Fagernäs";208;2.03;102.5
"2018";"Fiskari";492;2.43;202.5
"2018";"Forsby";361;4.28;84.3
"2018";"Forssan kt.";20991;37.09;565.9
"2018";"Girsnäs";248;1.93;128.5
"2018";"Godby";1301;6.27;207.5
"2018";"Haapajoki - Arkkukari";703;4.86;144.7
"2018";"Haapajärven kt.";4509;16.07;280.6
"2018";"Haapamäki";809;4.25;190.4
"2018";"Haapaveden kt.";3837;11.95;321.1
"2018";"Haikaperä";363;2.18;166.5
"2018";"Hailuodon kk.";530;5.62;94.3
"2018";"Haimoo";389;3.57;109.0
"2018";"Halkia";446;4.63;96.3
"2018";"Halkosaari";676;2.19;308.7
"2018";"Halla - Tiutinen";322;0.44;731.8
"2018";"Halli";944;4.19;225.3
"2018";"Halsuan kk.";487;3.12;156.1
"2018";"Haminan kt.";15464;35.02;441.6
"2018";"Hammasjärvi";207;2.23;92.8
"2018";"Hammaslahti";1527;4.39;347.8
"2018";"Hangon kt.";7513;13.55;554.5
"2018";"Hankasalmen as.seutu";760;3.21;236.8
"2018";"Hankasalmen kk.";1250;3.13;399.4
"2018";"Haraldsby";239;1.16;206.0
"2018";"Harrström";210;1.81;116.0
"2018";"Hartolan kk.";1489;5.35;278.3
"2018";"Hastinrinne";234;1.81;129.3
"2018";"Hauhon kk.";1130;3.02;374.2
"2018";"Haukivuoren as.seutu";772;2.74;281.8
"2018";"Heikkilä";718;2.62;274.0
"2018";"Heinlammi";211;1.80;117.2
"2018";"Heinolan kk.";2264;5.77;392.4
"2018";"Heinolan kt.";14328;16.52;867.3
"2018";"Heinävaara";475;2.05;231.7
"2018";"Heinäveden kk.";1423;3.74;380.5
"2018";"Helsingby";866;4.00;216.5
"2018";"Helsingin kt.";1286172;682.98;1883.2
"2018";"Hepola";1697;3.40;499.1
"2018";"Herrala";487;2.62;185.9
"2018";"Herunen";551;1.19;463.0
"2018";"Hikiä";1068;3.44;310.5
"2018";"Hiltulanlahti";873;4.49;194.4
"2018";"Himangan kk.";1643;6.40;256.7
"2018";"Hinnerjoki";452;3.79;119.3
"2018";"Hinthaara";891;3.96;225.0
"2018";"Hirsilä";370;2.06;179.6
"2018";"Hirvaskangas";464;1.63;284.7
"2018";"Hirvensalmen kk.";739;1.99;371.4
"2018";"Hollolan kk.";729;4.78;152.5
"2018";"Honkajoen kk.";722;3.30;218.8
"2018";"Huhmari";335;2.93;114.3
"2018";"Huikko";218;2.06;105.8
"2018";"Huittula";319;1.75;182.3
"2018";"Humppilan as.seutu";1358;5.89;230.6
"2018";"Huttukylä";289;1.89;152.9
"2018";"Hyrynsalmen kk.";1249;3.59;347.9
"2018";"Hytti";285;2.33;122.3
"2018";"Hyvinkään kt.";43303;37.18;1164.7
"2018";"Hähkänä";946;2.81;336.7
"2018";"Häijää";393;1.87;210.2
"2018";"Häiviä";321;3.36;95.5
"2018";"Hämeenkoski";1042;3.85;270.6
"2018";"Hämeenlinnan kt.";50647;48.68;1040.4
"2018";"Ihode";615;4.11;149.6
"2018";"Iin Hamina";6506;20.88;311.6
"2018";"Iisalmen kt.";15199;18.32;829.6
"2018";"Iitin kk.";235;1.73;135.8
"2018";"Iitiä";286;1.81;158.0
"2018";"Iittala";2348;6.63;354.1
"2018";"Ikaalisten kt.";3822;6.39;598.1
"2018";"Ikkala";280;2.05;136.6
"2018";"Ilmajoki - Kurikka";13428;56.99;235.6
"2018";"Ilola";356;2.77;128.5
"2018";"Ilomantsin kk.";2653;7.37;360.0
"2018";"Imatran kt.";27837;56.24;495.0
"2018";"Inarin kk.";608;2.79;217.9
"2018";"Inkere";667;2.36;282.6
