"13vu -- Taajamat väkiluvun ja väestöntiheyden mukaan, 2021"

"Vuosi";"Taajama";"Väestö 31.12.";"Maapinta-ala, km²";"Väestöntiheys"
"2021";"Ahde";397;2.89;137.4
"2021";"Ahlainen";347;3.08;112.7
"2021";"Ahola (Posio)";1238;3.98;311.1
"2021";"Ahonkylä";2227;5.17;430.8
"2021";"Aitoo";397;2.62;151.5
"2021";"Ajos";320;0.98;326.5
"2021";"Akonpohja";221;1.38;160.1
"2021";"Alahärmän kk.";2104;11.95;176.1
"2021";"Alajärven kt.";4977;24.90;199.9
"2021";"Alakylä";1467;9.17;160.0
"2021";"Alapitkä";338;1.49;226.8
"2021";"Alastaron kk.";1104;4.22;261.6
"2021";"Alaveteli";967;7.27;133.0
"2021";"Alavieskan kk.";1291;6.33;203.9
"2021";"Alavuden as.seutu";1220;6.66;183.2
"2021";"Alavuden kt.";4044;12.73;317.7
"2021";"Anttola";301;2.44;123.4
"2021";"Anttolankylä";801;2.72;294.5
"2021";"Arpela";263;1.87;140.6
"2021";"Artjärven kk.";403;2.59;155.6
"2021";"Asemakylä (Ii)";775;4.93;157.2
"2021";"Askaisten kk.";470;2.93;160.4
"2021";"Askolan kk.";1320;5.82;226.8
"2021";"Auran as.seutu";2755;7.30;377.4
"2021";"Bergö";368;3.16;116.5
"2021";"Björkboda";203;1.41;144.0
"2021";"Björköby";277;2.69;103.0
"2021";"Blinkan";233;1.56;149.4
"2021";"Bosund";1050;3.25;323.1
"2021";"Dragsfjärdin kk.";560;4.85;115.5
"2021";"Elimäen kk.";1247;4.28;291.4
"2021";"Enon kk.";1700;4.35;390.8
"2021";"Enonkosken kk.";527;1.88;280.3
"2021";"Enontekiön kk.";492;3.13;157.2
"2021";"Eskola";242;1.56;155.1
"2021";"Eteläinen";582;3.36;173.2
"2021";"Etelä-Paippinen";307;2.81;109.3
"2021";"Eugmo";784;3.78;207.4
"2021";"Eurajoen kk.";3542;12.20;290.3
"2021";"Eurakoski";738;3.34;221.0
"2021";"Euran kk.";6217;21.33;291.5
"2021";"Evijärven kk.";872;4.53;192.5
"2021";"Evitskog";221;2.36;93.6
"2021";"Fiskari";520;2.67;194.8
"2021";"Forsby";368;4.47;82.3
"2021";"Forssan kt.";20650;38.77;532.6
"2021";"Gesterby";604;6.16;98.1
"2021";"Girsnäs";243;1.94;125.3
"2021";"Godby";1369;7.00;195.6
"2021";"Haapajoki - Arkkukari";662;5.11;129.5
"2021";"Haapajärven kt.";4280;16.36;261.6
"2021";"Haapajärvi (Joensuu)";211;2.15;98.1
"2021";"Haapamäki";758;4.19;180.9
"2021";"Haapaveden kt.";3765;12.26;307.1
"2021";"Haikaperä";357;2.25;158.7
"2021";"Hailuodon kk.";495;5.50;90.0
"2021";"Haimoo";372;3.51;106.0
"2021";"Halkia";858;8.25;104.0
"2021";"Halkosaari";660;2.19;301.4
"2021";"Halla - Tiutinen";323;0.50;646.0
"2021";"Halli";916;4.44;206.3
"2021";"Halsuan kk.";476;2.88;165.3
"2021";"Haminan kt.";15124;34.80;434.6
"2021";"Hammasjärvi";212;2.45;86.5
"2021";"Hammaslahti";1435;4.39;326.9
"2021";"Hangon kt.";7136;13.90;513.4
"2021";"Hankasalmen as.seutu";694;3.21;216.2
"2021";"Hankasalmen kk.";1185;3.20;370.3
"2021";"Haraldsby";246;1.23;200.0
"2021";"Hartolan kk.";1385;5.47;253.2
"2021";"Hauhon kk.";1133;3.02;375.2
"2021";"Haukivuoren as.seutu";740;2.86;258.7
"2021";"Heikkilä";851;3.00;283.7
"2021";"Heinlammi";207;1.80;115.0
"2021";"Heinolan kk.";2168;5.70;380.4
"2021";"Heinolan kt.";14005;16.55;846.2
"2021";"Heinävaara";448;2.30;194.8
"2021";"Heinäveden kk.";1339;3.68;363.9
"2021";"Helsingby";886;4.18;212.0
"2021";"Helsingin kt.";1340363;721.35;1858.1
"2021";"Hepola";1651;3.52;469.0
"2021";"Herrala";483;2.87;168.3
"2021";"Hikiä";1032;3.19;323.5
"2021";"Himangan kk.";1668;6.28;265.6
"2021";"Hinnerjoki";386;2.85;135.4
"2021";"Hinthaara";869;4.15;209.4
"2021";"Hirsilä";332;1.93;172.0
"2021";"Hirvaskangas";474;1.69;280.5
"2021";"Hirvensalmen kk.";724;1.97;367.5
"2021";"Hollolan kk.";676;4.53;149.2
"2021";"Honkajoen kk.";702;3.48;201.7
"2021";"Huhmari";327;2.92;112.0
"2021";"Huittula";297;1.81;164.1
"2021";"Humppilan as.seutu";1339;6.08;220.2
"2021";"Huttukylä";265;2.01;131.8
"2021";"Hyrynsalmen kk.";1172;3.65;321.1
"2021";"Hytti";286;2.39;119.7
"2021";"Hyvinkään kt.";43735;37.12;1178.2
"2021";"Hähkänä";955;2.88;331.6
"2021";"Häijää";432;1.93;223.8
"2021";"Häiviä";334;3.74;89.3
"2021";"Hämeenkoski";1030;4.15;248.2
"2021";"Hämeenlinnan kt.";58274;67.23;866.8
"2021";"Ihode";592;3.99;148.4
"2021";"Iin Hamina";6679;21.55;309.9
"2021";"Iisalmen kt.";14933;17.92;833.3
"2021";"Iitin kk.";240;1.78;134.8
"2021";"Iitiä";376;2.49;151.0
"2021";"Iittala";2291;6.82;335.9
"2021";"Ikaalisten kt.";3779;6.33;597.0
"2021";"Ikkala";270;2.23;121.1
"2021";"Ilmajoki - Kurikka";13341;58.34;228.7
"2021";"Ilola";328;2.71;121.0
"2021";"Ilomantsin kk.";2455;7.18;341.9
"2021";"Imatran kt.";26462;54.42;486.3
"2021";"Inarin kk.";640;2.81;227.8
"2021";"Inkere";651;2.24;290.6
