"14f7 -- Taajamat väkiluvun ja väestöntiheyden mukaan, 2022"

"Vuosi";"Taajama";"Väestö 31.12.";"Maapinta-ala, km²";"Väestöntiheys"
"2022";"Ahde";389;2.89;134.6
"2022";"Ahlainen";339;3.08;110.1
"2022";"Ahola (Posio)";1202;3.98;302.0
"2022";"Ahonkylä";2247;5.23;429.6
"2022";"Aitoo";367;2.62;140.1
"2022";"Ajos";310;0.98;316.3
"2022";"Akonpohja";203;1.38;147.1
"2022";"Alahärmän kk.";2091;11.88;176.0
"2022";"Alajärven kt.";4895;24.60;199.0
"2022";"Alakylä";1472;9.20;160.0
"2022";"Alapitkä";344;1.49;230.9
"2022";"Alastaron kk.";1069;4.22;253.3
"2022";"Alaveteli";980;7.21;135.9
"2022";"Alavieskan kk.";1261;6.46;195.2
"2022";"Alavuden as.seutu";1222;6.66;183.5
"2022";"Alavuden kt.";4006;12.67;316.2
"2022";"Anttola";300;2.44;123.0
"2022";"Anttolankylä";787;2.72;289.3
"2022";"Arpela";261;1.87;139.6
"2022";"Artjärven kk.";409;2.59;157.9
"2022";"Asemakylä (Ii)";743;4.78;155.4
"2022";"Askaisten kk.";468;2.93;159.7
"2022";"Askolan kk.";1270;5.78;219.7
"2022";"Auran as.seutu";2769;7.30;379.3
"2022";"Bergö";365;3.16;115.5
"2022";"Björköby";271;2.69;100.7
"2022";"Blinkan";230;1.56;147.4
"2022";"Bosund";1066;3.31;322.1
"2022";"Dragsfjärdin kk.";552;4.85;113.8
"2022";"Elimäen kk.";1184;4.22;280.6
"2022";"Enon kk.";1699;4.44;382.7
"2022";"Enonkosken kk.";508;1.79;283.8
"2022";"Enontekiön kk.";490;3.13;156.5
"2022";"Eskola";229;1.56;146.8
"2022";"Eteläinen";569;3.36;169.3
"2022";"Etelä-Paippinen";299;2.81;106.4
"2022";"Eugmo";792;3.78;209.5
"2022";"Eurajoen kk.";3522;12.26;287.3
"2022";"Eurakoski";732;3.34;219.2
"2022";"Euran kk.";6165;21.15;291.5
"2022";"Evijärven kk.";847;4.53;187.0
"2022";"Evitskog";214;2.36;90.7
"2022";"Fiskari";485;2.67;181.6
"2022";"Forsby";361;4.35;83.0
"2022";"Forssan kt.";20441;37.90;539.3
"2022";"Girsnäs";244;1.94;125.8
"2022";"Godby";1352;7.00;193.1
"2022";"Haapajoki - Arkkukari";621;4.98;124.7
"2022";"Haapajärven kt.";4179;16.54;252.7
"2022";"Haapamäki";744;4.19;177.6
"2022";"Haapaveden kt.";3797;12.33;307.9
"2022";"Haikaperä";349;2.25;155.1
"2022";"Hailuodon kk.";509;5.69;89.5
"2022";"Haimoo";350;3.39;103.2
"2022";"Halkia";441;4.63;95.2
"2022";"Halkosaari";660;2.19;301.4
"2022";"Halla - Tiutinen";317;0.50;634.0
"2022";"Halli";914;4.44;205.9
"2022";"Halsuan kk.";462;2.88;160.4
"2022";"Haminan kt.";15049;35.11;428.6
"2022";"Hammaslahti";1402;4.33;323.8
"2022";"Hangon kt.";7010;13.97;501.8
"2022";"Hankasalmen as.seutu";683;3.21;212.8
"2022";"Hankasalmen kk.";1162;3.20;363.1
"2022";"Haraldsby";231;1.17;197.4
"2022";"Hartolan kk.";1367;5.42;252.2
"2022";"Hauhon kk.";1126;3.02;372.8
