"14x5 -- Taajamat väkiluvun ja väestöntiheyden mukaan, 2023"

"Vuosi";"Taajama";"Väestö 31.12.";"Maapinta-ala, km²";"Väestöntiheys"
"2023";"Ahde";383;2.89;132.5
"2023";"Ahlainen";319;3.08;103.6
"2023";"Ahola (Posio)";1185;3.98;297.7
"2023";"Ahonkylä";2325;5.23;444.6
"2023";"Aitoo";375;2.43;154.3
"2023";"Ajos";310;0.98;316.3
"2023";"Akonpohja";206;1.38;149.3
"2023";"Alahärmän kk.";2101;11.63;180.7
"2023";"Alajärven kt.";4860;24.42;199.0
"2023";"Alakylä";1465;9.20;159.2
"2023";"Alapitkä";330;1.49;221.5
"2023";"Alastaron kk.";1074;4.22;254.5
"2023";"Alaveteli";978;7.33;133.4
"2023";"Alavieskan kk.";1269;6.46;196.4
"2023";"Alavuden as.seutu";1189;6.67;178.3
"2023";"Alavuden kt.";3969;12.67;313.3
"2023";"Anttola";303;2.44;124.2
"2023";"Anttolankylä";767;2.72;282.0
"2023";"Arpela";232;1.87;124.1
"2023";"Artjärven kk.";407;2.53;160.9
"2023";"Asemakylä (Ii)";708;4.72;150.0
"2023";"Asemakylä (Sievi)";213;1.03;206.8
"2023";"Askaisten kk.";459;2.93;156.7
"2023";"Askolan kk.";1265;5.71;221.5
"2023";"Auran as.seutu";2807;7.67;366.0
"2023";"Bergö";378;3.34;113.2
"2023";"Björköby";268;2.69;99.6
"2023";"Blinkan";205;1.31;156.5
"2023";"Bosund";1054;3.31;318.4
"2023";"Dragsfjärdin kk.";534;4.79;111.5
"2023";"Elimäen kk.";1180;4.16;283.7
"2023";"Enon kk.";1635;4.23;386.5
"2023";"Enonkosken kk.";497;1.79;277.7
"2023";"Enontekiön kk.";469;3.17;147.9
"2023";"Eskola";225;1.56;144.2
"2023";"Eteläinen";584;3.30;177.0
"2023";"Etelä-Paippinen";291;2.81;103.6
"2023";"Eugmo";808;3.80;212.6
"2023";"Eurajoen kk.";3507;12.20;287.5
"2023";"Eurakoski";709;2.97;238.7
"2023";"Euran kk.";6162;21.33;288.9
"2023";"Evijärven kk.";828;4.53;182.8
"2023";"Evitskog";223;2.36;94.5
"2023";"Fiskari";478;2.74;174.5
"2023";"Forsby";345;4.28;80.6
"2023";"Forssan kt.";20456;38.03;537.9
"2023";"Fremböle";209;2.94;71.1
"2023";"Girsnäs";223;1.86;119.9
"2023";"Godby";1368;6.52;209.8
"2023";"Haapajoki - Arkkukari";617;5.05;122.2
"2023";"Haapajärven kt.";4088;16.35;250.0
"2023";"Haapajärvi (Joensuu)";285;3.00;95.0
"2023";"Haapamäki";724;4.19;172.8
"2023";"Haapaveden kt.";3969;14.27;278.1
"2023";"Haikaperä";345;2.25;153.3
"2023";"Hailuodon kk.";507;5.69;89.1
"2023";"Haimoo";349;3.33;104.8
"2023";"Halkia";454;4.76;95.4
"2023";"Halkosaari";675;2.19;308.2
"2023";"Halla - Tiutinen";302;0.50;604.0
"2023";"Halli";889;4.44;200.2
"2023";"Halsuan kk.";448;2.94;152.4
"2023";"Haminan kt.";15058;35.06;429.5
"2023";"Hammasjärvi";269;3.17;84.9
"2023";"Hammaslahti";1337;4.33;308.8
"2023";"Hangon kt.";6830;12.86;531.1
"2023";"Hankasalmen as.seutu";688;3.21;214.3
"2023";"Hankasalmen kk.";1147;3.20;358.4
"2023";"Haraldsby";233;1.17;199.1
